 ,,LED,,,Parameters,,,,,,,,,,,,,,,,,,
,พืช,R,G,B,stem diameter (mm),No. leaf,FW (g),DW (g),root FW (g),root DW (g),stem length (cm),leaf area (cm^2),root length (cm),root diameter (mm),leaf width,leaf length,,,,,,,
,ผักกาด,,,100,,,13.62,1.03,2.43,0.18,,,,,,,,,,,,,
,ผักกาด,80,,20,,,82.78,4.06,8.48,0.45,,,,,,,,,,,,,
,ผักกาด,88.8889,,11.1111,,,118.04,6.06,10.76,0.56,,,,,,,,,,,,,
,ผักกาด,92.3077,,7.6923,,,103.86,5.37,7.5,0.4,,,,,,,,,,,,,
,ผักกาด,100,,,,,66.33,4.06,10.04,0.46,,,,,,,,,,,,,
8,ผักกาดหอม,83,,17,,30.33,70.85,10.45,,,19.52,,,,,,,,,,,,
,ผักกาดหอม,91,,9,,26.67,78.45,12.28,,,19.33,,,,,,,,,,,,
,ผักกาดหอม,95,,5,,25.5,72.52,9.15,,,18.17,,,,,,,,,,,,
,ผักกาดหอม,100,,,,24.67,64.82,6.95,,,24.33,,,,,,,,,,,,
,ผักขม,83,,17,,66.67,63.73,9.88,,,31.35,,,,,,,,,,,,
,ผักขม,91,,9,,72.5,68.73,12.13,,,35.6,,,,,,,,,,,,
,ผักขม,95,,5,,69.17,65.25,11.35,,,29.83,,,,,,,,,,,,
,ผักขม,100,,,,36.33,47.7,8.45,,,35.17,,,,,,,,,,,,
,ผักคะน้า,83,,17,,27.83,109.78,26.21,,,46.05,,,,,,,,,,,,
,ผักคะน้า,91,,9,,28.83,185.6,28.11,,,46.43,,,,,,,,,,,,
,ผักคะน้า,95,,5,,28.17,189.95,29.71,,,47.38,,,,,,,,,,,,
,ผักคะน้า,100,,,,29.17,85.45,19.76,,,51.63,,,,,,,,,,,,
,โหระพา,83,,17,,101.83,41.2,10.13,,,45.68,,,,,,,,,,,,
,โหระพา,91,,9,,107.5,44.23,13.45,,,47.33,,,,,,,,,,,,
,โหระพา,95,,5,,103.67,42.92,11.95,,,48.05,,,,,,,,,,,,
,โหระพา,100,,,,90.5,32.68,9.37,,,51.12,,,,,,,,,,,,
,พริกหวานแคระ,83,,17,,183.39,650.88,218.37,,,467.48,,,,,,,,,,,,
,พริกหวานแคระ,91,,9,,191.61,683.89,305.49,,,492.27,,,,,,,,,,,,
,พริกหวานแคระ,95,,5,,215.37,783.71,197.03,,,568.33,,,,,,,,,,,,
,พริกหวานแคระ,100,,,,161.39,620.82,183.67,,,459.42,,,,,,,,,,,,
9,ผักกาดหอมใบแดง,16.6667,,83.3333,,10,9.4,0.44,,,9.7,234,,,,,,,,,,,
,ผักกาดหอมใบแดง,25,,75,,10,10.6,0.46,,,10.1,255,,,,,,,,,,,
,ผักกาดหอมใบแดง,50,,50,,9,10.3,0.55,,,11,243,,,,,,,,,,,
